ODI Number,Manufacturer,Crash,Fire,Injuries,Deaths,Incident Date,Complaint Date,VIN,Components,Summary,Make,Model
756391,"General Motors, LLC",0,0,0,0,01/15/2001,01/04/2002,1G4AG55MIT6,STEERING,"I TRIED TO SEND THIS YESTERDAY BUT WAS KICKED OUT BEFORE CONFIRMING.  I HAD A COMPLETE RACK AND PINION FAILURE WITHOUT ANY PRIOR WARING OF ANY PROBLEMS.  I SENT A DRAFT OF THE LETTER I SENT TO GENERAL MOTORS TO THE WEBB MASTER YESTERDAY.  I DON'T KNOW WHERE MY PAPERS ARE RIGHT NOW BECAUSE SINCE GENERAL MOTORS WAS SO INDIGNANT ABOUT MY SAFETY, I FELT I HAD NO OTHER ALTERNATIVES UNTIL I SAW THE ARTICLE IN THE PHILA. INQUIRER YESTERDAY ABOUT THE PROBLEM WITH 16 PONTIAC GRAN PRIX IN 1997 WHICH PROBABLY HAD THE SAME DEFECTIVE PART THAT WAS PUT IN MY 1996 BUICK CENTURY.  RE:RACK AND PINION STEERING FAILURE. *AK",BUICK,BUICK
10335034,"General Motors, LLC",0,0,0,0,06/05/2010,06/07/2010,5GAER13D09J,"ENGINE AND ENGINE COOLING,TIRES","VEHICLE 2009 BUICK ENCLAVE. KEEPS TURNING ON THE LIGHT ENGINE AND AT THE DEALERSHIP THEY KEEP TELLING ME THAT IS BECAUSE I DON'T CLOSE THE GAS KNOB CORRECTLY. WHEN THE ENGINE LIGHT TURNS ON WHILE IM DRIVING IT GIVES ME A MESSAGE OF POWER ENGINE REDUCE AND IT REDUCE MY SPEED AND I CAN'T CONTINUE DRIVING. I'VE ALMOST CAUSE 2 ACCIDENTS WHILE IM DRIVING DUE TO THIS ISSUE. IT WILL COMPLETELY STOP IN CERTAIN TIMES WHILE IM DRIVING. LAST INCIDENT 06/05/10. AS WELL, MY TIRE GOT FLAT AROUND A MONTH AGO AND I REALIZED THE DEALERSHIP SOLD ME THE VEHICLE WITH NO EXTRA TIRE AND EMERGENCY EQUIPMENT TO CHANGE MY TIRE. *TR",BUICK,ELECTRA
10041390,"General Motors, LLC",0,1,0,0,10/04/2003,10/07/2003,,ENGINE AND ENGINE COOLING,"MY FAMILY OF FOUR WAS DRIVING HOME IN OUR 1966 CADILLAC WHEN MY HUSBAND AND I SMELLED SMOKE.  WE PULLED OVER AND CHECKED THE ENGINE FOR FIRE AND HOT SPOTS AND DID NOT LOCATE ANY.  WE RETURNED TO DRIVING, THE VEHICLE CONTINUED TO SMELL OF SMOKE.  AS IT GOT WORSE, I SEARCHED THE VEHICLE FOR ANY ""HOT SPOTS"" AND FOUND THAT MY DAUGHTER'S JACKET, WHICH WAS LYING ON THE FLOOR BOARD, WAS ON FIRE.  THE CARPET AND INSULATION WAS COMPLETELY BURNED.  AS I PICKED UP THE JACKET, A HUGE GUST OF SMOKE WAS RELEASED AND MY HAND SLIGHTLY BURNED FROM THE JACKET.  MY HUSBAND IMMEDIATELY PULLED THE CAR OVER AND I OPENED THE DOOR TO THROW THE JACKET OUT OF THE CAR.  WE HAVE CONTACTED OUR INSURANCE COMPANY TO ASSESS HOW THE FIRE STARTED.  UNFORTUNATELY, WE ARE NOT AS COMFORTABLE AS DRIVING WHAT WE CONSIDERED OUR ""DREAM"" VEHICLE AND MY DAUGHTERS ARE AFFECTED BY THIS ORDEAL.  I AM ETERNALLY GRATEFUL THAT MY DAUGHTERS WERE NOT PHYSICALLY BURNED AS A RESULT.  I AM PERTURBED OF THE IDEA THAT HAD ONE OF MY GIRLS WOULD HAVE PLACED THEIR FOOT ON THE FLOORBOARD...  MY ONLY OTHER THOUGHT HAS BEEN THE OTHER KIDS RIDING IN THE BACK OF A 1966 CADILLAC AND THE POTENTIAL HAZARDS THAT COULD OCCUR.  *LA",CADILLAC,CADILLAC
548234,"General Motors, LLC",0,0,0,0,07/23/1999,08/30/1999,135176B1234,"SERVICE BRAKES, HYDRAULIC","BRAKES FAILED RESULTING IN CONSUMER CRASHING INTO GATE, BRAKE FLUID RESERVOIR WAS EMPTY UPON INSPECTION. (OHIO TRAFFIC CRASH REPORT). MJS",CHEVROLET,CHEVELLE
11163017,"General Motors, LLC",0,0,0,0,02/03/2018,12/21/2018,,"FUEL SYSTEM, GASOLINE,EQUIPMENT","TL* THE CONTACT OWNS A 1965 (NA) CHEVROLET CHEVELLE. THE CONTACT RECEIVED NOTIFICATION OF NHTSA CAMPAIGN NUMBER: 18E008000 (FUEL SYSTEM, GASOLINE, EQUIPMENT). THE DEALER WAS NOT CALLED. THE CONTACT CALLED THE MANUFACTURER AND THEY WERE UNABLE TO CONFIRM WHEN THE PART WAS TO BECOME AVAILABLE. THE CONTACT HAD NOT EXPERIENCED A FAILURE. THE VIN WAS NOT PROVIDED.",CHEVROLET,CHEVELLE
737332,"General Motors, LLC",0,1,0,0,09/11/2000,12/05/2000,2C3HD56TH28,EQUIPMENT,"APPROXIMATELY  6:30AM, TRAVELING I-75, NORTHERN GEORGIA, SMELLED ODOR SUGGESTING SOME ELECTRICAL SHORT.  TRUCK PASSED US AT SAME TIME ODOR DETECTED, ODOR DISAPPEARED. CONTINUED TO CALHOUN, GA. EXIT, STOPPED AT CRACKER BARREL RESTARUANT FOR BREAKFAST.  CAME OUT OF RESTAURANT APPROXIMATELY 7:15AM...NOW DAYLIGHT.  STARTED ENGINE, SMOKE CAME FROM EVERY A/C-HEATER VENT IN CAR.  EXAMINED UNDER HOOD...ALL OK..RETRIEVED FIRE EXTINGUISHER FROM TRUNK...WIFE AND I HAD BOTH EXITED CAR AT THAT TIME..WIFE EXCITEDLY POINTED OUT FIRE UNDER LEFT SIDE OF DASH BOARD.   MANAGER OF RESTAURANT HAD OBSERVED CLOUDS OF SMOKE COMING FROM CAR AND CALLED FIRE DEPARTMENT.  BY THE TIME THEY ARRIVED I HAD EXTINGUISHED FIRE.  CAR HAULED TO DODGE DEALER IN DALTON, GA.  MECHANIC DETERMINED THAT FIRE WAS DUE TO SHORT IN ""HEATER BOX"".  I WAS GIVEN THIS COMPONENT ALONG WITH 25 AMP FUSE (BLOWN) AND PARTIAL HOUSING AROUND A/C BLOWER AS EVIDENCE.  CHRYSLER ""ENGINEER"" EXAMINED CAR AT FAIRWAY CHRYSLER PLYMOUTH, KISSIMMEE, FL. ON 9/25/00.  DAIMLER CHRYSLER DENIED ANY RESPONSIBILITY PER LETTER 9/28/00.  I WROTE EXTENSIVE LETTER (REPORT) WITH ENCLOSURES TO MR. DIETER ZETSCHE, PRESIDENT, CHRYSLER GROUP, DAIMLER CHRYSLER CORPORATION 11/24/2000.  PHONE CALL FROM SOMEONE AT DAMILER CHRYSLER CORP. 12/4/00 REAFFIRMING THEIR DENIAL OF ANY RESPONSIBILITY.  HAD THIS FIRE OCCURRED WHEN ODOR FIRST DETECTED (TRAVELING 70 MPH IN PRE DAWN DARKNESS) IT IS QUESTIONABLE THAT I WOULD HAVE BEEN ABLE TO RETAIN CONTROL OF THE VEHICLE WHICH COULD HAVE HAD DISASTEROUS RESULTS (IE THE SUDDENNESS OF THIS FIRE AND THE THICK  POISONOUS SMOKE FILLED THE INTERIOR OF THE CAR).  CHRYSLER, OBSIOUSLY HAS KNOWN ABOUT PROBLEM(S) WITH THE AUTOMATIC AIRCONDITIONING SYSTEM LIKE THAT IN OUR CAR AS THEY REPLACED THE EVAPORATOR ON OUR CAR UNDER EXTENDED WARRANTY ON 1/13/00 WHEN OUR CAR HAD RECORDED  69204 MILES...THE WARRANTY WAS EXTENDED TO 70,000 MILES FOR THAT SERVICE.  *AK",CHEVROLET,CORVAIR
506699,"General Motors, LLC",1,0,0,0,07/26/1996,07/26/1996,,WHEELS,"RIGHT REAR WHEEL CAME OFF, CAUSING ACCIDENT. (OHIO STATE POLICE REPORT) *DH",CHEVROLET,CORVETTE
506842,"General Motors, LLC",0,0,0,0,,07/30/1996,1G1BL52P7TR,STEERING,ROUTE OF POWER STEERING HOSE CAUSED IT TO BE CUT BY TIE ROD. *DH,CHEVROLET,IMPALA
10088692,"General Motors, LLC",0,0,0,0,08/25/2004,08/27/2004,,ENGINE AND ENGINE COOLING,"MFGR DOES NOT RECOGNIZE RECALL NUMBER 71V235000  CALLED CHEV, THEY ESTABLISHED A REF# 1-250262940 ON MY BEHALF ON AUG 25.  THEY CALLED BACK AND SAID VEHICLE MIGHT NOT BE INVOLVED AND TO CALL HELM INC. CALLED HELM, THEY SAID, CHEV IS SUPPOSED TO HAVE INFO. RUNAROUND.   PROVIDED CHEV, KIM THOMAS, CAMPAIGN # 5110000, VIN# 164676D119657  YOUR RECALL# 71V235000.  ALL I GOT WAS THEY DO NOT HAVE INFO THAT OLD SO ARE UNSURE.  PROVIDED THEM DESCRIPTION OF PART INVOLVE ENGINE LIFT STOP CABLE UNIT. PN# 325875  NOTHING DONE.  MOTOR MOUNTS FAILED, ENGINE JUMPED, BUT I STOPPED BEFORE RUNAWAY.  NO PARTS AVAILABLE.  *AK",CHEVROLET,IMPALA
10296359,"General Motors, LLC",0,0,0,0,12/17/2009,12/18/2009,,"ELECTRICAL SYSTEM,EQUIPMENT","TL*  THE CONTACT OWNS A 1966 CHEVROLET IMPALA . HE PURCHASED AN EVERSTART MODEL # 24MS-6 BATTERY . SEVERAL DAYS LATER AFTER TURNING ON THE VEHICLE,  HE HEARD A SIZZLING SOUND.  HE  PULLED OVER AND THEN OPENED THE HOOD, AND THE BATTERY EXPLODED IN HIS FACE. THERE WERE NO MAJOR INJURIES. THE STORE THAT SOLD HIM THE BATTERY WAS WALMART. A REPRESENTATIVE  STATED THAT THEY NEEDED TO BRING THE BATTERY TO THE STORE.  THE FAILURE AND CURRENT MILEAGES WERE 85000. THE VEHICLE IDENTIFICATION NUMBER WAS UNAVAILABLE.",CHEVROLET,IMPALA
