Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model
"Honda (American Honda Motor Co.)","19V182000",0,0,0,"EA15001","06/03/2019","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling specific 2003 Acura 3.2CL, 2013-2016 ILX, 2013-2014 ILX Hybrid, 2003-2006 MDX, 2007-2016 RDX, 2002-2003 3.2TL, 2004-2006, and 2009-2014 TL, 2010-2013 ZDX and 2001-2007 and 2009 Honda Accord, 2001-2005 Civic, 2003-2005 Civic Hybrid, 2001-2005 Civic GX NGV, 2002-2007 and 2010-2011 CR-V, 2003-2011 Element, 2007 Fit, 2002-2004 Odyssey, 2003-2008 Pilot, and 2006-2014 Ridgeline vehicles.  The affected vehicles received a replacement driver air bag inflator as part of a previous Takata inflator recall remedy or a replacement driver air bag module containing the same inflator type as a service part.  Due to a manufacturing error, in the event of a crash necessitating deployment of the driver frontal air bag, these inflators may explode.","An explosion of an inflator within the driver frontal air bag module may result in sharp metal fragments striking the driver, front seat passenger or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the driver's air bag inflator with an alternate inflator, free of charge.  The recall began April 10, 2019.  Honda owners may contact customer service at 1-888-234-2138.  Honda's number for this recall is O41.  Acura owners may contact customer service at 1-888-234-2138.  Acura's number for this recall is U40.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","ILX"
"Honda (American Honda Motor Co.)","19V500000",0,0,0,"EA15001","27/06/2019","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling certain 2013 Acura ILX, 2015 RDX, 2005-2010 and 2012 RL, 2009-2014 TL, 2010 and 2012 ZDX, 2007-2011 CR-V, 2011-2013 and 2015 CR-Z, 2009-2013 Fit, 2013 Fit EV, 2010-2011 and 2013 Insight and 2007-2014 Ridgeline vehicles. 

These vehicles are equipped with driver frontal air bag inflators assembled as a recall remedy part or replacement service part, that may explode due to propellant degradation occurring after long-term exposure to high absolute humidity, temperature and temperature cycling.","An inflator explosion may result in sharp metal fragments striking the driver or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the driver frontal air bag inflator, free of charge.  The recall began August 12, 2019.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are S5B and W59.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","ILX"
"Honda (American Honda Motor Co.)","14V323000",0,0,0,,"13/06/2014","EXTERIOR LIGHTING:HEADLIGHTS","American Honda Motor Co., Inc (Honda) is recalling certain model year 2013 Acura ILX vehicles manufactured January 16, 2012 to March 1, 2013, ILX Hybrid vehicles manufactured January 12, 2012 to February 7, 2013, and certain model year 2014 ILX vehicles manufactured May 2, 2013, to May 31, 2014, and ILX Hybrid vehicles manufactured October 18, 2013 to February 19, 2014.  Excessive heat temperatures around the headlight bulb and reflector unit may diminish the output of the headlight and cause smoke, melting, and fire.  Thus, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard No. 108, ""Lamps, Reflective Devices, and Associated Equipment.""","The diminished light output may decrease the driver's visibility, increasing the risk of a crash.  Additonally, the excessive heat coming from around the bulb and reflector could cause the headlights to overheat, increasing the risk of a fire.","Honda will notify owners, and dealers will replace the headlights, free of charge.  The recall began in July 2014.  Owners may contact Acura customer service at 1-800-862-2872.  Honda's number for this recall is JE9.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","ILX"
"Honda (American Honda Motor Co.)","16V061000",0,0,0,"EA15001","03/02/2016","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling certain model year 2007-2011 Honda CR-V, 2011-2015 CR-Z, 2010-2014 FCX, and Insight, 2009-2013 Fit, 2013-2014 Fit EV, 2007-2014 Ridgeline, 2013-2016 Acura ILX, 2013-2014 Acura ILX Hybrid, 2007-2016 RDX, 2005-2012 Acura RL, 2009-2014 Acura TL, and 2010-2013 Acura ZDX vehicles.  The affected vehicles are equipped with a dual-stage driver frontal air bag that may be susceptible to moisture intrusion which, over time, could cause the inflator to rupture.","In the event of a crash necessitating deployment of the driver's frontal air bag, the inflator could rupture with metal fragments striking the driver or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the inflator, free of charge. The recall began March 2017.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are JY0, JY1, and JY2.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","ILX"
"HONDA (AMERICAN HONDA MOTOR CO.)","12V338000",0,0,0,,"19/07/2012","LATCHES/LOCKS/LINKAGES:DOORS:LATCH","Honda is recalling certain model year 2012 Honda CR-V and model year 2013 Acura ILX vehicles.  If the manual or power door lock is activated while an interior front door handle is being operated by an occupant, the cable connecting the interior door handle to the door latch mechanism may become loose and move out of position.  There is a possibility that the cable can move far enough out of position to prevent the door from properly latching.","If the door is not fully latched, the door may open while driving or in a crash, increasing the risk of personal injury to the vehicle occupants.","Honda will notify owners, and dealers will replace the front door latch assemblies in the affected vehicles, free of charge.  Additionally, the interior front door handles in certain Honda CR-Vs will also be replaced, free of charge.  The safety recall is expected to begin on, or about, August 16, 2012.  Owners may contact Honda customer service at 1-800-999-1009.","Honda recall campaign numbers S45/S46/S47.  Customers may contact the National Highway Traffic Safety Administration's Vehicle Safety Hotline at 1-888-327-4236 (TTY: 1-800-424-9153); or go to http://www.safercar.gov","2013","ACURA","ILX"
"Honda (American Honda Motor Co.)","20V770000",0,0,0,,"10/12/2020","POWER TRAIN:DRIVELINE:DRIVESHAFT","Honda (American Honda Motor Co.) is recalling certain 2013-2015 Acura ILX, 2013 Acura ILX Hybrid, 2012 Honda Civic Hybrid, and 2007-2008 Honda Fit vehicles with a manual transmission and 2009-2013 Honda Fit vehicles originally sold, or ever registered, in Connecticut, Delaware, District of Columbia, Illinois, Indiana, Iowa, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia, and Wisconsin.  The drive shafts' protective coating may not have been applied properly during manufacturing, making it more susceptible to damage from road salt, or other contaminants, and potentially cause it to break.","A broken drive shaft may cause a sudden loss of drive power.  The vehicle could also roll away if the parking brake has not been applied before the vehicle has been exited.  Either condition can increase the risk of a crash or injury.","Honda will notify owners, and dealers will inspect the drive shafts, replacing either the left or right drive shaft, if necessary, free of charge.  Owners were notified of the safety risk with an interim letter mailed February 2, 2021.  A second letter will be sent once the remedy is available.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are P9M, PAV, BAY, TAX, CA0, and MAZ.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","ILX"
"Honda (American Honda Motor Co.)","23V858000",0,0,0,,"18/12/2023","FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP","Honda (American Honda Motor Co.) is recalling certain 2013-2023 Honda Accord, Civic Coupe, Civic Sedan, Civic Hatchback, Civic Type R, CR-V, HR-V, Ridgeline, Odyssey, Acura ILX, MDX, MDX Hybrid, RDX, RLX, TLX, 2019-2022 Honda Insight, Passport, 2020 Honda CR-V Hybrid, 2018-2019 Honda Clarity PHEV, Fit, and 2015-2020 Honda Accord Hybrid, Pilot, Acura NSX vehicles.  The fuel pump inside the fuel tank may fail.","Fuel pump failure can cause an engine stall while driving, increasing the risk of a crash.","Dealers will replace the fuel pump module, free of charge.  Owner letters were mailed September 6, 2024.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are KGC and KGD.  This recall is an expansion of NHTSA recall numbers 21V-215 and 20V-314.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.","2013","ACURA","MDX"
"Honda (American Honda Motor Co.)","19V182000",0,0,0,"EA15001","06/03/2019","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling specific 2003 Acura 3.2CL, 2013-2016 ILX, 2013-2014 ILX Hybrid, 2003-2006 MDX, 2007-2016 RDX, 2002-2003 3.2TL, 2004-2006, and 2009-2014 TL, 2010-2013 ZDX and 2001-2007 and 2009 Honda Accord, 2001-2005 Civic, 2003-2005 Civic Hybrid, 2001-2005 Civic GX NGV, 2002-2007 and 2010-2011 CR-V, 2003-2011 Element, 2007 Fit, 2002-2004 Odyssey, 2003-2008 Pilot, and 2006-2014 Ridgeline vehicles.  The affected vehicles received a replacement driver air bag inflator as part of a previous Takata inflator recall remedy or a replacement driver air bag module containing the same inflator type as a service part.  Due to a manufacturing error, in the event of a crash necessitating deployment of the driver frontal air bag, these inflators may explode.","An explosion of an inflator within the driver frontal air bag module may result in sharp metal fragments striking the driver, front seat passenger or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the driver's air bag inflator with an alternate inflator, free of charge.  The recall began April 10, 2019.  Honda owners may contact customer service at 1-888-234-2138.  Honda's number for this recall is O41.  Acura owners may contact customer service at 1-888-234-2138.  Acura's number for this recall is U40.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","RDX"
"Honda (American Honda Motor Co.)","16V061000",0,0,0,"EA15001","03/02/2016","AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE","Honda (American Honda Motor Co.) is recalling certain model year 2007-2011 Honda CR-V, 2011-2015 CR-Z, 2010-2014 FCX, and Insight, 2009-2013 Fit, 2013-2014 Fit EV, 2007-2014 Ridgeline, 2013-2016 Acura ILX, 2013-2014 Acura ILX Hybrid, 2007-2016 RDX, 2005-2012 Acura RL, 2009-2014 Acura TL, and 2010-2013 Acura ZDX vehicles.  The affected vehicles are equipped with a dual-stage driver frontal air bag that may be susceptible to moisture intrusion which, over time, could cause the inflator to rupture.","In the event of a crash necessitating deployment of the driver's frontal air bag, the inflator could rupture with metal fragments striking the driver or other occupants resulting in serious injury or death.","Honda will notify owners, and dealers will replace the inflator, free of charge. The recall began March 2017.  Owners may contact Honda customer service at 1-888-234-2138.  Honda's numbers for this recall are JY0, JY1, and JY2.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","RDX"
"Honda (American Honda Motor Co.)","13V143000",0,0,0,,"15/04/2013","POWER TRAIN:AUTOMATIC TRANSMISSION","Honda is recalling certain model year 2012-2013 CR-V, Odyssey, and model year 2013 Acura RDX vehicles.  During sub-freezing temperatures, the brake-shift interlock blocking mechanism may become slow and allow the gear selector to be moved from the Park position without pressing the brake pedal.  As such, these vehicles fail to conform to the requirements of Federal Motor Vehicle Safety Standard 114, ""Theft Protection and Rollaway Prevention.""","If the gear selector is moved from the park position without pressing the brake pedal it can allow the vehicle to roll away, increasing the risk of a crash.","Honda will notify owners and instruct them to take their vehicle to a Honda or Acura dealer.  The dealer will install an updated brake shift interlock blocking mechanism free of charge.  The recall began on May 13, 2013.  Owners may contact Honda at 1-800-999-1009.  Honda's campaign recall numbers are S96, S97, and S98.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.","2013","ACURA","RDX"
