VehicleId,ModelYear,Make,Model,VehicleDescription,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,CombinedSideBarrierAndPoleRatingFront,CombinedSideBarrierAndPoleRatingRear,SideBarrierRatingOverall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,DynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ImagePath
1009,2004,ACURA,MDX,2004 Acura MDX 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/2046_st0640_046.jpg,Not Rated,Not Rated,5,4,Not Rated,5,5,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,170,10,4,2004/ACURA/MDX/2004 Acura MDX 4-DR. w_SAB.png
1010,2004,ACURA,NSX-T,2004 Acura NSX-T Convertible,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,No,No,No,0,0,0,2004/ACURA/NSX-T/2004 Acura NSX-T Convertible.png
1008,2004,ACURA,RL,2004 Acura 3.5 RL 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/2045_st0640_046.jpg,Not Rated,Not Rated,4,4,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.105, ,Not Rated,Standard,No,No,11,0,0,2004/ACURA/RL/2004 Acura 3.5 RL 4-DR. w_SAB.png
1011,2004,ACURA,RSX,2004 Acura RSX 2-DR. w/SAB,,Not Rated,Not Rated,5,5,Not Rated,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.113, ,Not Rated,No,No,No,17,4,0,2004/ACURA/RSX/2004 Acura RSX 2-DR. w_SAB.png
1012,2004,ACURA,TL,2004 Acura 3.2 TL 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/2049_st0640_046.jpg,Not Rated,Not Rated,5,5,Not Rated,4,5,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.103, ,Not Rated,Standard,No,No,551,6,1,2004/ACURA/TL/2004 Acura 3.2 TL 4-DR. w_SAB.png
1013,2004,ACURA,TSX,2004 Acura TSX  4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/2048_st0640_046.jpg,Not Rated,Not Rated,5,5,Not Rated,5,4,Not Rated,Not Rated,Not Rated,Not Rated,4,0,0.118, ,Not Rated,Standard,No,No,140,4,0,2004/ACURA/TSX/2004 Acura TSX  4-DR. w_SAB.png
1014,2004,AUDI,A4,2004 Audi A4 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/1150_st0640_046.jpg,Not Rated,Not Rated,4,4,Not Rated,5,4,Not Rated,Not Rated,Not Rated,4,Not Rated,0.107,0,No Tip,Not Rated,Standard,No,No,189,3,1,2004/AUDI/A4/2004 Audi A4 4-DR. w_SAB.png
1015,2004,AUDI,A4 AVANT,2004 Audi A4 Avant 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/1150_st0640_046.jpg,Not Rated,Not Rated,4,4,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,189,3,1,2004/AUDI/A4 AVANT/2004 Audi A4 Avant 4-DR. w_SAB.png
1016,2004,AUDI,A4 CABRIOLET,2004 Audi A4 Cabriolet Convertible,https://static.nhtsa.gov/images/vehicles/1137_st0640_046.jpg,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,189,3,1,2004/AUDI/A4 CABRIOLET/2004 Audi A4 Cabriolet Convertible.png
1017,2004,AUDI,A6,2004 Audi A6 4-DR. w/SAB,https://static.nhtsa.gov/images/vehicles/1149_st0640_046.jpg,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,0, ,Not Rated,Standard,No,No,35,4,1,2004/AUDI/A6/2004 Audi A6 4-DR. w_SAB.png
